"x","y","bio_flux_opt","yymm"
-39.5,87.5,0,"201201"
-38.5,87.5,0,"201201"
-37.5,87.5,0,"201201"
-36.5,87.5,0,"201201"
-35.5,87.5,0,"201201"
-34.5,87.5,0,"201201"
-33.5,87.5,0,"201201"
-32.5,87.5,0,"201201"
-31.5,87.5,0,"201201"
-30.5,87.5,0,"201201"
-29.5,87.5,0,"201201"
-28.5,87.5,0,"201201"
-27.5,87.5,0,"201201"
-26.5,87.5,0,"201201"
-25.5,87.5,0,"201201"
-24.5,87.5,0,"201201"
-23.5,87.5,0,"201201"
-22.5,87.5,0,"201201"
-21.5,87.5,0,"201201"
-20.5,87.5,0,"201201"
-19.5,87.5,0,"201201"
-18.5,87.5,0,"201201"
-17.5,87.5,0,"201201"
-16.5,87.5,0,"201201"
-15.5,87.5,0,"201201"
-14.5,87.5,0,"201201"
-13.5,87.5,0,"201201"
-12.5,87.5,0,"201201"
-11.5,87.5,0,"201201"
