"x","y","bio_flux_opt","ocn_flux_opt","fossil_flux_imp","fire_flux_imp","tot"
-173.5,88.5,0,0,0,0,0
-172.5,88.5,0,0,0,0,0
-171.5,88.5,0,0,0,0,0
-170.5,88.5,0,0,0,0,0
-169.5,88.5,0,0,0,0,0
-168.5,88.5,0,0,0,0,0
-167.5,88.5,0,0,0,0,0
-166.5,88.5,0,0,0,0,0
-165.5,88.5,0,0,0,0,0
-164.5,88.5,0,0,0,0,0
-163.5,88.5,0,0,0,0,0
-162.5,88.5,0,0,0,0,0
-161.5,88.5,0,0,0,0,0
-160.5,88.5,0,0,0,0,0
-159.5,88.5,0,0,0,0,0
-158.5,88.5,0,0,0,0,0
-157.5,88.5,0,0,0,0,0
-156.5,88.5,0,0,0,0,0
-155.5,88.5,0,0,0,0,0
-154.5,88.5,0,0,0,0,0
-153.5,88.5,0,0,0,0,0
-152.5,88.5,0,0,0,0,0
-151.5,88.5,0,0,0,0,0
-150.5,88.5,0,0,0,0,0
-149.5,88.5,0,0,4.77104342982899e-12,0,0
-148.5,88.5,0,0,8.78579355320752e-12,0,0
-147.5,88.5,0,0,8.29975761717472e-12,0,0
-146.5,88.5,0,0,7.85784255205494e-12,0,0
-145.5,88.5,0,0,7.45383989903052e-12,0,0
-144.5,88.5,0,0,7.08608342000966e-12,0,0
-143.5,88.5,0,0,6.74739744672843e-12,0,0
-142.5,88.5,0,0,6.43626375344977e-12,0,0
-141.5,88.5,0,0,6.1508087382384e-12,0,0
-140.5,88.5,0,0,5.88744273512624e-12,0,0
-139.5,88.5,0,0,5.64290690773996e-12,0,0
-138.5,88.5,0,0,5.41681290683221e-12,0,0
-137.5,88.5,0,0,5.20812134861519e-12,0,0
-136.5,88.5,0,0,5.01300406206426e-12,0,0
-135.5,88.5,0,0,4.83229636442849e-12,0,0
-134.5,88.5,0,0,4.66398836516898e-12,0,0
-133.5,88.5,0,0,4.50623357352436e-12,0,0
-132.5,88.5,0,0,4.36013402207603e-12,0,0
-131.5,88.5,0,0,4.22229605131563e-12,0,0
-130.5,88.5,0,0,4.09444561719088e-12,0,0
-129.5,88.5,0,0,3.97429145914207e-12,0,0
-128.5,88.5,0,0,3.86171414145723e-12,0,0
-127.5,88.5,0,0,3.7560281910779e-12,0,0
-126.5,88.5,0,0,3.65701122310494e-12,0,0
-125.5,88.5,0,0,3.56336776306772e-12,0,0
-124.5,88.5,0,0,3.47552902517769e-12,0,0
-123.5,88.5,0,0,3.39371959253739e-12,0,0
-122.5,88.5,0,0,3.31598855972939e-12,0,0
-121.5,88.5,0,0,3.24342220554478e-12,0,0
-120.5,88.5,0,0,3.17456275483698e-12,0,0
-119.5,88.5,0,0,3.10987109756178e-12,0,0
-118.5,88.5,0,0,3.04946648624754e-12,0,0
-117.5,88.5,0,0,2.99218790319142e-12,0,0
-116.5,88.5,0,0,2.93802014415399e-12,0,0
-115.5,88.5,0,0,2.88766297051504e-12,0,0
-114.5,88.5,0,0,2.83997056881102e-12,0,0
-113.5,88.5,0,0,2.79488285481885e-12,0,0
-112.5,88.5,0,0,2.75286181759598e-12,0,0
-111.5,88.5,0,0,2.71350463639007e-12,0,0
-110.5,88.5,0,0,2.67652994118032e-12,0,0
-109.5,88.5,0,0,2.64180235928098e-12,0,0
-108.5,88.5,0,0,2.60945653064338e-12,0,0
-107.5,88.5,0,0,2.57898631896064e-12,0,0
-106.5,88.5,0,0,2.55104642244516e-12,0,0
-105.5,88.5,0,0,2.52477386312305e-12,0,0
-104.5,88.5,0,0,2.50037673757217e-12,0,0
-103.5,88.5,0,0,2.47754271774217e-12,0,0
-102.5,88.5,0,0,2.45755189068061e-12,0,0
-101.5,88.5,0,0,1.43481857700433e-11,0,0
-100.5,88.5,0,0,1.54306602040083e-11,0,0
-99.5,88.5,0,0,1.61142691860312e-11,0,0
-98.5,88.5,0,0,1.68644602801561e-11,0,0
-97.5,88.5,0,0,1.7697708287287e-11,0,0
-96.5,88.5,0,0,1.86136922697439e-11,0,0
-95.5,88.5,0,0,1.96305693866792e-11,0,0
-94.5,88.5,0,0,2.07627759718152e-11,0,0
-93.5,88.5,0,0,2.20208399534286e-11,0,0
-92.5,88.5,0,0,2.34321597372923e-11,0,0
-91.5,88.5,0,0,2.50188184736296e-11,0,0
-90.5,88.5,0,0,2.68065615193414e-11,0,0
-89.5,88.5,0,0,2.65018260630971e-11,0,0
-88.5,88.5,0,0,2.88103908791282e-11,0,0
-87.5,88.5,0,0,3.14526869182306e-11,0,0
-86.5,88.5,0,0,3.45006774941545e-11,0,0
